date,default_rate_total,default_rate_credit_card,default_rate_other
2005-01-01,2.91,3.7,2.38
2005-04-01,2.85,3.67,2.34
2005-07-01,2.8,3.9,2.14
2005-10-01,2.69,3.54,2.08
2006-01-01,2.78,3.86,2.12
2006-04-01,2.92,4.13,2.18
2006-07-01,2.96,4.12,2.28
2006-10-01,2.94,3.95,2.24
2007-01-01,2.93,3.98,2.3
2007-04-01,2.99,4.02,2.39
2007-07-01,3.2,4.41,2.48
2007-10-01,3.4,4.6,2.66
2008-01-01,3.49,4.77,2.76
2008-04-01,3.56,4.9,2.81
2008-07-01,3.71,4.8,3.04
2008-10-01,4.27,5.64,3.4
2009-01-01,4.67,6.51,3.51
2009-04-01,4.85,6.77,3.66
2009-07-01,4.7,6.49,3.61
2009-10-01,4.59,6.33,3.51
2010-01-01,4.72,5.78,3.48
2010-04-01,4.25,5.1,3.35
2010-07-01,4.0,4.58,3.37
2010-10-01,3.63,4.14,3.07
2011-01-01,3.43,3.82,2.99
2011-04-01,3.27,3.65,2.88
2011-07-01,3.13,3.45,2.77
2011-10-01,3.07,3.25,2.9
